word,article,english,example
leihen,,add English meaning,Ich habe mir von meinem Bruder 50 Euro geliehen.
leise,,add English meaning,Seid leise. Die anderen schlafen schon.
leisten,,add English meaning,So ein teures Auto kann ich mir leider nicht leisten.
Leistung,die,add English meaning,Meine Leistungen in der Schule sind ganz gut.
leiten,,add English meaning,Wer leitet den Kurs?
Leiter,der,add English meaning,Wie heißt die Leiterin der Schule?
Leitung,die,add English meaning,Ab Juli übernimmt Herr Meier die Leitung der Abteilung.
Leiter,die,add English meaning,Haben Sie eine Leiter für mich? Ich will die Fenster putzen.
lernen,,add English meaning,Wie lange lernen Sie schon Deutsch?
gelernt,,add English meaning,'gelernt' kommt in vielen Texten vor.
Lerner,der,add English meaning,Der Lerner ist ein nützliches Wort.
lesen,,add English meaning,"Ich habe gelesen, dass es ab heute Sonderangebote gibt."
Leser,der,add English meaning,Der Leser ist heute wichtig.
letztdie Leute,,add English meaning,Was hast du letzte Woche gemacht?
Lexikon,das,add English meaning,Wir könnten im Lexikon nachsehen.
Licht,das,add English meaning,Kannst du bitte Licht machen? Ich kann so nichts sehen.
lieben,,add English meaning,Ich liebe meine Familie.
lieb,,add English meaning,Die Kinder waren heute sehr lieb.
Liebe Lieblingsdas Lied,die,add English meaning,Die Liebe Lieblingsdas Lied steht auf meiner Liste.
liefern,,add English meaning,Ich wiederhole heute 'liefern'.
geliefert,,add English meaning,Dieses Wort heißt 'geliefert'.
Lieferung,die,add English meaning,Die Lieferung passt gut zu diesem Thema.
liegen,,add English meaning,Der Brief liegt schon auf Ihrem Schreibtisch.
Lift,der,add English meaning,Aufzug Im Büro ist leider der Lift kaputt.
Limonade,die,add English meaning,Die Limonade ist sehr süß.
Linie,die,add English meaning,Zum Hauptbahnhof können Sie mit der Linie 8 fahren.
links,,add English meaning,An der Kreuzung müssen Sie nach links abbiegen.
Lippe,die,add English meaning,Es ist sehr kalt. Meine Lippen sind ganz trocken.
Liste,die,add English meaning,Was brauchen wir für die Party? – Mach doch eine Einkaufsliste.
Literatur,die,add English meaning,Ich interessiere mich für Literatur.
loben,,add English meaning,Ich habe alle Hausaufgaben gemacht. Der Lehrer hat mich heute gelobt.
Loch,das,add English meaning,Ich habe ein Loch im Zahn. Ich muss zum Zahnarzt.
locker,,add English meaning,Lassen Sie bitte die Arme ganz locker und atmen Sie tief ein.
Löffel,der,add English meaning,Sie bekommen Ihren Lohn immer am Ende des Monats.
sich lohnen,,add English meaning,Für drei Tage zu meinen Eltern fahren lohnt sich nicht. Es ist zu weit.
Lokal,das,add English meaning,Gibt es hier in der Nähe ein gemütliches Lokal?
los/loslosfahren,,add English meaning,Dieses Wort heißt 'los'.
löschen,,add English meaning,Du kannst die Datei löschen. Ich brauche sie nicht mehr.
lösen,,add English meaning,Wir müssen dieses Problem lösen.
Lösung,die,add English meaning,Wir fahren alle zusammen mit dem Zug. Das ist die beste Lösung.
Luft,die,add English meaning,"Oh, hier ist aber schlechte Luft."
machen,,add English meaning,Was machst du am Wochenende?
lügen,,add English meaning,Du sollst nicht lügen.
Magazin,das,add English meaning,Das Magazin steht auf meiner Liste.
Lüge,die,add English meaning,Die Lüge kommt in der Prüfung vor.
Magen,der,add English meaning,Mit tut der Magen weh. Ich habe Magenschmerzen. Bitte 1 kg mageres Fleisch.
mager,,add English meaning,Ich wiederhole heute 'mager'.
lustig,,add English meaning,Ich habe einen lustigen Film gesehen.
Mahlzeit,die,add English meaning,Die Tropfen bitte immer nach den Mahlzeiten einnehmen.
Mahnung,die,add English meaning,Die Mahnung kommt in der Prüfung vor.
mal,,add English meaning,Dieses Wort heißt 'mal'.
Mal,das,add English meaning,Das machen wir nächstes Mal.
malen,,add English meaning,Das Bild hat mein Vater gemalt.
Maler,der,add English meaning,Wir haben die Maler im Haus. Wir lassen die Wände neu streichen.
man,,add English meaning,Wie schreibt man das?
manchmanchmal,,add English meaning,Manche Nachbarn sind unfreundlich.
Mangel,der,add English meaning,In dieser Stadt gibt es einen großen Mangel an Wohnungen.
männlich,,add English meaning,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.
Mannschaft,die,add English meaning,Unsere Mannschaft hat 0:1 verloren.
Mantel,der,add English meaning,Es ist sehr kalt. Zieh deinen Mantel an. Mein Pass ist in dieser Mappe.
Märchen,das,add English meaning,Meine Großmutter hat uns viele Märchen erzählt. Meine Frau isst nur Margarine und keine Butter.
Marille,die,add English meaning,"D, CH: Schmecken dir die Marillen?"
Marke,die,add English meaning,Ich brauche bitte fünf Briefmarken zu 1 Euro.
markieren,,add English meaning,Hier ist unser Hotel. Ich markiere Ihnen auf dem Plan den Weg zum Bahnhof.
Markt,der,add English meaning,Ich gehe heute auf den Markt.
Marmelade,die,add English meaning,Bring bitte noch ein Glas Marmelade mit.
Maschine,die,add English meaning,Ich habe eine neue Kaffeemaschine.
Material,das,add English meaning,Aus welchem Material ist der Schrank? – Aus Holz.
Matura,die,add English meaning,D: Meine Tocher hat gerade die Matura gemacht.
Mauer,die,add English meaning,Die Kinder sind über die Mauer geklettert.
maximal,,add English meaning,Wie lange braucht ein Brief? – Maximal zwei Tage.
Mechaniker,der,add English meaning,Das kann nur ein Mechaniker reparieren.
Medien,die,add English meaning,Umweltschutz ist in den Medien ein großes Thema.
Medikament,das,add English meaning,Dieses Medikament gibt es nur auf Rezept.
Medizin,die,add English meaning,Du musst noch deine Medizin nehmen.
Meer,das,add English meaning,Wir machen immer Urlaub am Meer.
Mehl,das,add English meaning,Ich möchte einen Kuchen backen. Ist noch genug Mehl da?
mehr,,add English meaning,Ich habe diesmal mehr gelernt als bei der letzten Prüfung.
mehrere,,add English meaning,Ich kann 'mehrere' in einem Satz benutzen.
Mehrheit,die,add English meaning,Die Mehrheit der Menschen in Deutschland besitzt ein Handy.
Mehrwertsteuer,die,add English meaning,Die Mehrwertsteuer bei diesem Produkt beträgt 20 %.
meinen,,add English meaning,Dieser Film ist gut. Was meinst du?
meinetwegen,,add English meaning,Meinetwegen kannst du heute das Auto haben.
Meinung,die,add English meaning,"Ich bin der Meinung, dass du recht hast."
meist,,add English meaning,Wie gut kannst du Deutsch? – Das Meiste verstehe ich.
Meister,der,add English meaning,"Ich weiß nicht, wie man das macht. – Dann frag doch den Meister."
Meldung,die,add English meaning,Hast du die Meldung im Radio gehört? Es wird starken Sturm geben.
Menge,die,add English meaning,"Diesen Preis gibt es nur, wenn Sie große Mengen kaufen."
Mensa,die,add English meaning,Ich esse fast jeden Tag in der Mensa.
Mensch,der,add English meaning,Die Menschen sind hier ein bisschen anders als im Süden.
menschlich,,add English meaning,Fehler zu machen ist menschlich.
Menü,das,add English meaning,"Nimm doch das Menü, das sieht gut aus."
merken,,add English meaning,"Ich habe nicht gemerkt, dass es schon so spät ist. Ich muss gehen."
merkwürdig,,add English meaning,Das ist eine merkwürdige Geschichte.
Messe,die,add English meaning,Kommst du mit zur Automobilmesse?
messen,,add English meaning,Haben Sie schon Fieber gemessen?
Messer,das,add English meaning,Das Messer schneidet nicht gut. Dieser Tisch hier ist ganz aus Metall.
Methode,die,add English meaning,"Weißt du eine gute Methode, um schnell gut Deutsch zu lernen?"
Metropole,die,add English meaning,Berlin und Wien sind Metropolen.
mieten,,add English meaning,Wir haben die Wohnung für drei Jahre gemietet.
Miete,die,add English meaning,Unsere Miete ist sehr hoch.
Mieter,der,add English meaning,Der Mieter passt gut zu diesem Thema.
Migrant,der,add English meaning,Der Migrant ist heute wichtig.
Migrantin,die,add English meaning,Die Migrantin steht auf meiner Liste.
Migration,die,add English meaning,Gestern gab es im Fernsehen eine Diskussion zum Thema Migration.
Milch,die,add English meaning,Stellst du bitte die Milch in den Kühlschrank?
mild,,add English meaning,"Möchten Sie die Soße scharf? – Nein, bitte ganz mild."
Minderheit,die,add English meaning,Frauen sind in unserer Firma in der Minderheit.
mindestens,,add English meaning,Ein guter Fernsehapparat kostet mindestens 500 Euro.
Mineralwasser,das,add English meaning,Kann ich bitte ein Mineralwasser haben?
minimal,,add English meaning,Da ist nur ein minimaler Unterschied.
mischen,,add English meaning,Ich möchte ein gemischtes Eis mit Sahne.
miss,,add English meaning,Die Konferenz war ein Misserfolg.
mit,,add English meaning,Ich gehe heute Abend mit Maria aus.
Mitarbeiter,der,add English meaning,Unsere Firma hat sieben Mitarbeiter.
miteinander,,add English meaning,Sprechen Sie bitte miteinander.
Mitglied,das,add English meaning,Für Mitglieder ist der Eintritt zum Konzert gratis.
Mitte,die,add English meaning,Wo möchten Sie sitzen? – In der Mitte.
mitteilen,,add English meaning,Den Prüfungstermin teilen wir Ihnen noch mit.
Mittel,das,add English meaning,Haben Sie ein Mittel gegen Magenschmerzen?
mittlermittlerweile,,add English meaning,In den mittleren Reihen sind noch Plätze frei. Am Anfang war die Arbeit schwer. Mittlerweile habe ich mich daran gewöhnt.
Möbel,das,add English meaning,Wir haben uns neue Möbel gekauft. Ich suche ein möbliertes Zimmer.
möchten,,add English meaning,Möchtest du auch einen Kaffee?
mobil/mobildie Mobilbox,,add English meaning,Mit dem Fahrrad bin ich in der Stadt sehr mobil. Ich habe zwei Nachrichten auf meiner Mobilbox.
Mobilität,die,add English meaning,Sprachen zu lernen fördert die Mobilität.
Mobiltelefon,das,add English meaning,Wie findest du die neue Mode?
Mode,die,add English meaning,Die Mode passt gut zu diesem Thema.
Modell,das,add English meaning,Wie findest du dieses Auto? – Dieses Modell gefällt mir nicht.
modern,,add English meaning,Die Wohnung ist modern eingerichtet.
mögen,,add English meaning,Ich mag keinen Reis.
möglich,,add English meaning,Kann ich bitte sofort einen Termin haben? – Das ist leider nicht möglich.
Möglichkeit,die,add English meaning,"Sagen Sie mir bitte möglichst bald, ob Ihnen der Termin passt."
möglichst,,add English meaning,Das Wort 'möglichst' ist im Alltag nützlich.
Moment,der,add English meaning,Warten Sie bitte einen Moment.
Mond,der,add English meaning,Bei Vollmond kann ich nicht schlafen.
Monitor,der,add English meaning,Ich habe mir einen größeren Monitor gekauft. Das ist besser für meine Augen.
Motor,der,add English meaning,Der Motor ist kaputt. Das Auto fährt nicht mehr.
Motorrad,das,add English meaning,Oskar fährt jeden Tag mit dem Motorrad zur Arbeit.
müde,,add English meaning,Ich bin müde. Ich gehe schlafen.
Mühe,die,add English meaning,Vielen Dank für Ihre Mühe.
Müll,der,add English meaning,Bringst du bitte noch den Müllsack raus?
Müllabfuhr,die,add English meaning,Die Müllabfuhr passt gut zu diesem Thema.
Mülltonne,die,add English meaning,Die Mülltonne ist voll.
Mund,der,add English meaning,Sie haben Halsschmerzen? Bitte machen Sie mal den Mund auf.
mündlich,,add English meaning,Die mündliche Prüfung ist erst nächste Woche.
Münze,die,add English meaning,Der Automat nimmt nur Münzen.
Museum,das,add English meaning,Wir waren mit unserer Klasse im Museum.
Musik,die,add English meaning,Wie findest du die Musik?
musikalisch,,add English meaning,"Sie ist sehr musikalisch: Sie spielt Klavier, Flöte und Geige."
Musiker,der,add English meaning,Mein Bruder möchte Musiker werden.
Muskel,der,add English meaning,Im Fitness-Studio trainieren wir unsere Muskeln.
nach,,add English meaning,du im Wörterbuch nachschlagen.
Nachbar,der,add English meaning,Meine neue Nachbarin ist sehr nett.
Nachbarin,die,add English meaning,Die Nachbarin steht auf meiner Liste.
Müesli/Müsli,das,add English meaning,Wie lange müssen Sie arbeiten?
Mut,der,add English meaning,"Man braucht viel Mut, um in einem fremden Land ganz neu anzufangen."
mutig,,add English meaning,"Es war sehr mutig von dir, deine Meinung laut zu sagen."
Mutter,die,add English meaning,Meine Mutter heißt Klara.
nachdem,,add English meaning,"Nachdem wir gegessen hatten, sind wir spazieren gegangen."
nachdenken,,add English meaning,"Ich weiß nicht, was ich machen soll. Ich muss nachdenken."
Nachfrage,die,add English meaning,Die Nachfrage für dieses Produkt ist groß.
nachher,,add English meaning,Ich rufe nachher nochmal an.
Nachhilfe,die,add English meaning,Der Schüler braucht Nachhilfe in Mathematik.
Nachricht,die,add English meaning,Ich habe eine gute Nachricht für Sie. Sie haben die Prüfung bestanden.
nachschlagen,,add English meaning,Ich wiederhole heute 'nachschlagen'.
Nachspeise,die,add English meaning,Die Nachspeise ist ein nützliches Wort.
nächstder Nachteil,,add English meaning,Wo ist hier die nächste Apotheke?
Nachwuchs,der,add English meaning,Der Nachwuchs bei Forschern soll gefördert werden.
Nadel,die,add English meaning,Hast du eine Nadel für mich? Ich muss einen Knopf annähen.
Nagel,der,add English meaning,Kannst du mir den Nagel in die Wand schlagen?
Nähe,die,add English meaning,Die Post ist ganz in der Nähe vom Bahnhof.
nähen,,add English meaning,Meine Mutter näht ihre Kleider selbst.
genäht,,add English meaning,Wir müssen die Wunde nähen.
sich nähern,,add English meaning,Ich übe das reflexive Verb 'nähern'.
Nahrungsmittel,das,add English meaning,Das Nahrungsmittel kommt in der Prüfung vor.
Familienname,der,add English meaning,Ludin ist mein Familienname.
Vorname,der,add English meaning,Mein Vorname ist Thomas.
nämlich,,add English meaning,Ich muss leider gehen. Ich habe nämlich noch einen Termin beim Zahnarzt.
Nase,die,add English meaning,Haben Sie Nasentropfen? Ich bin stark erkältet.
nass,,add English meaning,Es hat schrecklich geregnet. Ich bin ganz nass geworden.
national/nationaldie Natur,,add English meaning,Das ist ein nationaler Wettbewerb.
natürlich,,add English meaning,Natürlich helfen wir dir.
Nebel,der,add English meaning,Wegen Nebels konnten wir gestern nicht in Frankfurt landen.
neben,,add English meaning,Neben mir ist noch ein Platz frei.
nebenan,,add English meaning,"Das ist José, er wohnt nebenan."
nebenbei,,add English meaning,Mein Freund studiert Geschichte. Und nebenbei arbeitet er in einer Kneipe.
Neffe,der,add English meaning,Meine Schwester hat zwei Kinder. Meine Neffen sind drei und fünf Jahre alt.
negativ,,add English meaning,Du solltest nicht alles negativ sehen.
nehmen,,add English meaning,Was möchten Sie? – Ich nehme einen Salat.
nein,,add English meaning,"Noch ein Bier? – Nein, danke."
nennen,,add English meaning,"Mein Freund heißt Alexander, aber alle nennen ihn Alex."
Nerv,der,add English meaning,Er leidet an einer Nervenkrankheit.
nervös,,add English meaning,Das Warten macht mich ganz nervös.
nett,,add English meaning,Die Leute sind hier sehr nett.
Netz,das,add English meaning,Bitte bring ein Netz Orangen.
Netzwerk,das,add English meaning,Soziale Netzwerke sind wichtig.
neu,,add English meaning,Mein Wagen ist noch ganz neu.
Neuigkeit,die,add English meaning,In dieser Sache gibt es keine Neuigkeiten.
neugierig,,add English meaning,Die Nachbarn sind ziemlich neugierig.
neulich,,add English meaning,Ich war neulich bei der Bank und habe einen alten Freund getroffen.
nicht,,add English meaning,"Zigarette? Danke, ich rauche nicht."
Nichte,die,add English meaning,Die Tasche ist ein Geschenk von meiner Nichte.
Nichtraucher,der,add English meaning,In unserer Familie sind alle en Nichtraucher.
nichts,,add English meaning,Ich habe noch nichts gegessen.
nie,,add English meaning,Der Chef ist nie da.
niedrig,,add English meaning,Die Räume hier sind mir zu niedrig.
niemand,,add English meaning,Ich habe geklingelt. Aber es war niemand zu Hause.
nirgends,,add English meaning,Ich kann die Quittung nirgends finden.
nirgendwo,,add English meaning,Die Schlüssel kann ich nirgendwo finden.
noch,,add English meaning,Mein Bruder geht noch zur Schule.
noch mal,,add English meaning,Vielen Dank nochmal.
nochmals,,add English meaning,Nochmals vielen Dank!
normal,,add English meaning,Fehler zu machen ist doch ganz normal.
normalerweise Notdie Notaufnahme,,add English meaning,Wann haben Sie normalerweise Pause? Die Notaufnahme ist gleich hier links.
Notausgang,der,add English meaning,Der Notausgang ist gleich hier bei der Treppe.
Notfall,der,add English meaning,Wir haben einen Notfall. Bitte schicken Sie einen Krankenwagen. Im Notfall rufen Sie bitte diese Nummer an.
Notruf,der,add English meaning,Der Notruf passt gut zu diesem Thema.
Note,die,add English meaning,Eva hat immer sehr gute Noten in Mathematik.
notieren,,add English meaning,Ich habe mir den Termin notiert.
nötig,,add English meaning,"Wenn es nötig ist, nehmen Sie noch eine Tablette."
Notiz,die,add English meaning,Ich habe Ihnen eine Notiz geschrieben.
notwendig,,add English meaning,"Muss ich nochmal wiederkommen? – Nein, das ist nicht notwendig."
Nudel,die,add English meaning,Möchten Sie Nudeln oder Reis? – Lieber Nudeln.
Nummer,die,add English meaning,Ich habe mich in der Hausnummer geirrt.
nun,,add English meaning,"Schade, dass du arbeiten musst. – Das ist nun mal so."
nur,,add English meaning,Im Kaufhaus gibt‘s T-Shirts für nur fünf Euro.
nutzen,,add English meaning,Ich möchte das schöne Wetter nutzen und spazieren gehen.
nützen,,add English meaning,Ich übe das Verb 'nützen'.
nützlich,,add English meaning,Das Wort 'nützlich' ist nützlich.
ob,,add English meaning,"Ich weiß noch nicht, ob ich kommen kann."
oben,,add English meaning,Wir wohnen oben im Stock.
oberder Ober,,add English meaning,Die Wohnung im oberen Stockwerk ist vermietet. Ich bin Ober von Beruf.
das/derObers,,add English meaning,Ich hätte gern ein Stück Torte mit CH: (Schlag-)Obers.
Obst Früchte,das,add English meaning,Das Obst Früchte steht auf meiner Liste.
obwohl,,add English meaning,"Obwohl meine Kollegin krank ist, geht sie arbeiten."
oder,,add English meaning,Möchten Sie Kaffee oder Tee?
Ofen,der,add English meaning,Ich habe gerade eine Pizza gemacht. Sie ist ganz frisch aus dem Ofen.
offen,,add English meaning,Das Wort 'offen' ist im Alltag nützlich.
öffentlich,,add English meaning,In der Stadt fahre ich immer mit öffentlichen Verkehrsmitteln.
Öffentlichkeit,die,add English meaning,Von solchen Dingen erfährt die Öffentlichkeit nur selten.
veröffentlichen,,add English meaning,Das Buch wurde gestern veröffentlicht.
offenbar,,add English meaning,Das Restaurant ist heute offenbar geschlossen.
offiziell,,add English meaning,Sie bekommen von uns eine offizielle Einladung.
öffnen,,add English meaning,Wann öffnen die Geschäfte?
oft/öfter,,add English meaning,Ich treffe mich oft mit meiner Freundin.
ohne,,add English meaning,Bitte eine Pizza ohne Zwiebeln.
Ohr,das,add English meaning,Ich habe Ohrenschmerzen.
Öl,das,add English meaning,Es fehlt Öl am Salat.
Oma,die,add English meaning,Meine Oma ist achtzig Jahre alt geworden.
Onkel,der,add English meaning,Nächste Woche fahre ich zu meinem Onkel nach Berlin. Mein Opa heißt Hans.
Oper,die,add English meaning,Die Oper ist ein nützliches Wort.
operieren,,add English meaning,Wir müssen das Knie sofort operieren.
Operation,die,add English meaning,", -en Seit der Operation kann ich mein Knie nicht mehr bewegen."
Opfer,das,add English meaning,"Bei der Schiffskatastrophe gab es viele Opfer. Glaubst du, dass du den Job bekommst. – Ja, ich bin ganz optimistisch."
Orange,die,add English meaning,Ich esse gern Orangen.
Orchester,das,add English meaning,Auf unserer Hochzeit hat ein kleines Orchester gespielt.
Paar,das,add English meaning,Ina und Pedro sind ein Paar.
ordentlich,,add English meaning,Mein Bruder ist ein sehr ordentlicher Mensch.
Ordination,die,add English meaning,Die Ordination bleibt bis zum Jänner geschlossen.
ordnen,,add English meaning,Letztes Wochenende habe ich meine Papiere geordnet.
Ordner,der,add English meaning,Mach mal etwas Ordnung in deinem Zimmer!
organisieren,,add English meaning,Für den nächsten Sommerurlaub habe ich schon alles organisiert.
Organisation,die,add English meaning,Die Organisation des Festes war sehr gut.
Original,das,add English meaning,Das Original ist für Sie. Wir bekommen die Kopie.
original,,add English meaning,Ich muss das originale Dokument abgeben.
Ort,der,add English meaning,Vergessen Sie Ort und Datum nicht.
Vorort,der,add English meaning,Mein Bruder wohnt in einem Vorort von Hamburg.
Wohnort,der,add English meaning,Tragen Sie bitte auch Ihren Wohnort ein.
Ozean,der,add English meaning,Ich komme gleich. Es dauert nur ein paar Minuten.
packen,,add English meaning,Ich muss noch meinen Koffer packen.
Paket,das,add English meaning,Hast du das Paket zur Post gebracht?
Panne,die,add English meaning,Kurz vor München hatten wir eine Panne mit dem Auto.
Papier,das,add English meaning,Hast du ein Blatt Papier für mich?
mate,,add English meaning,Ich kann 'mate' in einem Satz benutzen.
parallel,,add English meaning,Die Goethestraße ist parallel zur Hauptstraße.
Parfüm,das,add English meaning,Zum Geburtstag habe ich von meinem Mann ein Parfüm bekommen.
Park,der,add English meaning,Ich gehe gern im Park spazieren.
parken,,add English meaning,Hier dürfen Sie nicht parken.
geparkt,,add English meaning,CH: Hier ist das Parken verboten.
parkieren,,add English meaning,Hier dürfen Sie nicht parkieren.
Partner,der,add English meaning,Wir haben das Geschäft zusammen. Wir sind Partner.
Party,die,add English meaning,Letzte Woche war ich auf einer Geburtstagsparty.
Pass,der,add English meaning,Ich muss meinen Pass verlängern lassen.
Passagier,der,add English meaning,Der Passagier steht auf meiner Liste.
Passagierin,die,add English meaning,sollen bitte zur Information kommen.
passen,,add English meaning,Der Pullover passt mir nicht mehr.
passieren,,add English meaning,Entschuldigung! – Kein Problem. Es ist nichts passiert.
passiv,,add English meaning,Ich übe das Wort 'passiv'.
Patient,der,add English meaning,Der Patient steht auf meiner Liste.
Patientin,die,add English meaning,möchte bitte einen Termin.
pauschal,,add English meaning,Sie haben die Reise pauschal gebucht.
Pause,die,add English meaning,Wir machen zehn Minuten Pause.
Pech,das,add English meaning,Es regnet. Unser Picknick fällt leider aus. – So ein Pech!
peinlich,,add English meaning,Das muss dir nicht peinlich sein.
Pension,die,add English meaning,Im Urlaub haben wir in einer kleinen Pension gewohnt.
in Pension gehen/sein (D,,add English meaning,'in Pension gehen' kommt in vielen Texten vor.
pensioniert werden/sein,,add English meaning,Ich werde Ende des Jahres pensioniert. ension2. Mein Nachbar ist seit zehn Jahren pensioniert.
gehen/sein,,add English meaning,Das Wort 'gehen' ist im Alltag nützlich.
Pensionist,der,add English meaning,"Meine Großmutter arbeitet nicht mehr. D,Sie ist Pensionistin."
per,,add English meaning,Wie kann ich mich für den Kurs anmelden? – Per Fax oder E-Mail.
perfekt,,add English meaning,Die Reiseorganisation war perfekt.
Perron,der,add English meaning,"D, A:Auf Hauptbahnhöfen gibt es meist viele Perrons."
Person,die,add English meaning,Eintritt pro Person: 2 Euro.
persönlich,,add English meaning,Hier gibt es zu viele Autos. Das ist meine persönliche Meinung.
Personalien,die,add English meaning,Mein Kollege wird Ihre Personalien aufnehmen.
Personenstand Familienstand; CH: Zivilstand,der,add English meaning,Der Personenstand Familienstand; CH: Zivilstand ist ein nützliches Wort.
Personal,das,add English meaning,Dieser Eingang ist nur für das Personal.
Pfanne,die,add English meaning,"D, A:Hast du keine größere Pfanne? Ich möchte Kartoffeln kochen."
Pfeffer,der,add English meaning,Bringen Sie uns bitte Pfeffer und Salz.
pflanzen,,add English meaning,Lass uns einen Baum pflanzen!
Pflanze,die,add English meaning,"-n Wenn wir im Urlaub sind, gießt die Nachbarin unsere Pflanzen. Hast du ein Pflaster? Ich habe mich geschnitten. Ich esse gern Pflaumen und noch lieber Pflaumenkuchen."
Pflaster,das,add English meaning,Das Pflaster passt gut zu diesem Thema.
pflegen,,add English meaning,Meine Mutter ist sehr krank. Ich muss sie pflegen.
Pfleger,der,add English meaning,Der Pfleger steht auf meiner Liste.
Pflicht,die,add English meaning,Als Autofahrer müssen Sie eine Versicherung haben. Das ist Pflicht.
Phantasie/Fantasie,die,add English meaning,Mein Sohn malt sehr gut. Er hat viel Phantasie.
Picknick,das,add English meaning,Am Sonntag machen wir ein Picknick.
Pille,die,add English meaning,Der Arzt hat mir neue Pillen verschrieben.
Pizza,die,add English meaning,Lass uns eine Pizza bestellen!
Plakat,das,add English meaning,Im Unterricht haben wir ein Plakat gemacht.
planen,,add English meaning,"Wir haben geplant, diesmal im Urlaub nach Österreich zu fahren."
Plan,der,add English meaning,"Was macht ihr im Sommer? – Ich weiß noch nicht, wir haben noch keine Pläne."
Planung,die,add English meaning,Die Planung ist heute wichtig.
Plastik,das,add English meaning,Was für ein Spielzeug möchten Sie? Aus Plastik oder aus Holz?
Platz,der,add English meaning,In unserer Wohnung haben wir nicht genug Platz.
plötzlich,,add English meaning,Es war zuerst so schön. Plötzlich hat es angefangen zu regnen.
Politik,die,add English meaning,Ich interessiere mich nicht für Politik.
Politiker,der,add English meaning,"Weißt du, wie dieser Politiker heißt?"
politisch,,add English meaning,Ich diskutiere mit meinem Mann oft über politische Probleme.
Polizei,die,add English meaning,Rufen Sie bitte die Polizei.
Polizist,der,add English meaning,Der Polizist ist ein nützliches Wort.
Polizistin,die,add English meaning,den Verkehr geregelt.
Pommes frites,die,add English meaning,Die Kinder essen gern Würstchen mit Pommes frites.
populär,,add English meaning,Diese Musik ist bei Jugendlichen populär.
Portemonnaie,das,add English meaning,Das Portemonnaie kommt in der Prüfung vor.
Portion,die,add English meaning,"Bitte, eine große Portion Sahne!"
positiv,,add English meaning,Wir haben eine positive Nachricht für Sie. Sie bekommen die Stelle.
Post,die,add English meaning,Die Post macht erst um 8 Uhr auf.
Postleitzahl,die,add English meaning,Weißt du die Postleitzahl der Kollwitzstraße in Berlin?
Pöstler,der,add English meaning,War die Pöstlerin schon da?
Poulet,das,add English meaning,D: Zum Mittagessen gibt es Poulet mit Reis.
Praktikum,das,add English meaning,Ich mache diesen Sommer drei Monate ein Praktikum bei einer Firma.
Praktikant,der,add English meaning,Der Praktikant ist heute wichtig.
Praktikantin,die,add English meaning,als Praktikantin gearbeitet.
praktisch,,add English meaning,Ich finde diese Küchenmaschine sehr praktisch.
präsentieren,,add English meaning,Präsentieren Sie Ihre Ergebnisse bitte im Kurs.
Präsentation,die,add English meaning,Die Schülerin hat für ihre Präsentation eine gute Note bekommen.
Praxis,die,add English meaning,Das ist die Theorie. In der Praxis ist vieles ganz anders.
Preis,der,add English meaning,Die Preise sind schon wieder gestiegen.
preiswert,,add English meaning,'preiswert' kommt in vielen Texten vor.
Presse,die,add English meaning,Darüber konnte sich jeder in der Presse informieren.
prima,,add English meaning,Mit diesen Leuten verstehe ich mich prima.
privat,,add English meaning,Hier meine Nummer im Büro und meine private Nummer.
pro,,add English meaning,Eintritt pro Person: zwei Euro.
Problem,das,add English meaning,José spricht nicht gern über seine Probleme.
produzieren,,add English meaning,Unsere Firma produziert Feuerzeuge.
Produkt,das,add English meaning,Unsere Produkte haben eine hohe Qualität.
Produktion,die,add English meaning,Die Produktion von Käse dauert oft viele Wochen.
Professor,der,add English meaning,Der Professor steht auf meiner Liste.
Professorin,die,add English meaning,Die Professorin kommt in der Prüfung vor.
Profi,der,add English meaning,Der Profi ist ein nützliches Wort.
Profisportler,der,add English meaning,Mein Sohn möchte Profisportler werden.
Programm,das,add English meaning,Hast du schon ins Programm geguckt? Gibt es heute im Fernsehen einen schönen Film?
Projekt,das,add English meaning,Der Staat fördert Projekte für Kinder und Jugendliche.
Prospekt,der,add English meaning,Bitte schicken Sie mir einen Prospekt von Ihrem Hotel. Wir trinken auf Ihre Gesundheit! Prost!
Qualifikation,die,add English meaning,Für diese Arbeit haben Sie gute Qualifikationen.
Qualität,die,add English meaning,"Für mich ist nicht nur der Preis wichtig, sondern auch die Qualität."
protestieren,,add English meaning,Wir protestieren gegen den Bau der Autobahn.
Protest,der,add English meaning,Alle Proteste haben nichts genützt.
Prozess,der,add English meaning,Der Prozess wird direkt aus dem Gerichtssaal im Fernsehen übertragen.
prüfen,,add English meaning,'prüfen' kommt in vielen Texten vor.
geprüft,,add English meaning,Ich wiederhole heute 'geprüft'.
Prüfung,die,add English meaning,Mein Freund hat die Prüfung bestanden.
Publikum,das,add English meaning,Es war ein tolles Konzert. Das Publikum war begeistert.
Pullover,der,add English meaning,Das Konzert beginnt um Punkt 20 Uhr.
pünktlich,,add English meaning,Seien Sie bitte pünktlich.
Puppe,die,add English meaning,Unsere kleine Tochter bekommt zum Geburtstag eine Puppe.
putzen,,add English meaning,Ich muss heute noch die Wohnung putzen.
Quartier,das,add English meaning,"D,Wir wohnen in einem schönen Quartier."
quer,,add English meaning,Ich muss zu meiner Arbeit quer durch die ganze Stadt fahren.
