word,article,english,example
Krieg,der,war,Es herrscht noch immer Krieg in diesem Land.
kriegen,,to get; to receive,Haben Sie meinen Brief gekriegt?
Krimi,der,crime novel; detective film,Heute Abend kommt ein spannender Krimi im Fernsehen.
Krise,die,crisis,Die Wirtschaft steckt in einer schweren Krise.
kritisieren,,to criticize,Kritisiere mich nicht so oft.
Kritik,die,criticism,Es gibt viel Kritik an der Politik der Regierung.
kritisch,,critical,Dieses Wort heißt 'kritisch'.
Küche,die,kitchen,"Ich suche eine Wohnung mit drei Zimmern, Küche und Bad."
Kuchen,der,cake,Ich habe einen Kuchen gebacken.
kühl,,cool,'kühl' kommt in vielen Texten vor.
Kühlschrank,der,refrigerator,Der Kühlschrank ist ein nützliches Wort.
Kultur,die,culture,Ich interessiere mich für andere Länder und Kulturen.
kulturell,,cultural,Es gibt große kulturelle Unterschiede zwischen den Ländern.
sich kümmern,,to take care of; to look after,Ich kann nicht arbeiten. Ich muss mich um die Kinder kümmern.
Kunde,der,customer,Der Kunde kommt in der Prüfung vor.
Kundin,die,female customer,Die Kundin hat eine Frage.
kündigen,,to quit; to terminate,Ich war mit meiner Stelle nicht zufrieden und habe gekündigt.
Kündigung,die,termination; notice,Ich habe die Kündigung bekommen. Jetzt bin ich arbeitslos.
Kunst,die,art,Ich verstehe nichts von moderner Kunst.
Künstler,der,artist,In diesem Stadtteil wohnen viele Künstler.
künstlich,,artificial,Ich mag kein künstliches Licht.
Kunststoff,der,plastic,Der Stuhl ist aus Kunststoff.
Kurs,der,course,Ich besuche regelmäßig einen Deutschkurs.
Kursleiter,der,course instructor,Der Kursleiter ist mit unserer Kursgruppe in den Computerraum gegangen.
Kurve,die,curve; bend,Fahr bitte nicht so schnell in die Kurven.
kurz,,short,Ricardo hat kurze Haare.
kürzlich,,recently,"Wir haben doch kürzlich darüber gesprochen, dass wir am Wochenende wegfahren wollen."
küssen,,to kiss,Er nahm sie in die Arme und küsste sie.
Kuss,der,kiss,Gib der Mama einen Kuss!
Küste,die,coast,Unser Dorf liegt direkt an der Küste.
lächeln,,to smile,Schauen Sie in die Kamera. Bitte lächeln!
Kuvert,das,envelope,Ich hätte gern 50 Kuverts und Briefmarken dazu.
lachen,,to laugh,Lachen ist gesund.
gelacht,,laughed,Wir haben viel gelacht. Die Kinder haben über den Witz gelacht.
Laden,der,shop; store,Dieses Kleid habe ich in einem Laden im Zentrum gekauft.
Lager,das,warehouse; storage,"Ich weiß nicht, ob wir diesen Schuh in Ihrer Größe haben. Ich sehe mal im Lager nach."
Land,das,country; land,Deutschland ist ein schönes Land.
Landwirtschaft,die,agriculture,Die Landwirtschaft ist heute wichtig.
Landschaft,die,landscape,Die Landschaft ist sehr hügelig.
landen,,to land,Ich wiederhole heute 'landen'.
gelandet,,landed,Wegen starken Nebels konnte die Maschine nicht in Frankfurt landen.
Landung,die,landing,Bei der Landung müssen Sie sich anschnallen.
lang,,long,Der Teppich ist 3 m lang und 2 m breit.
Länge,die,length,"Mein Tisch hat folgende Maße: Länge: 1,20 m, Breite: 0,60 m, Höhe: 0,80 m."
lange,,long; for a long time,Wie lange dauert die Fahrt von Hamburg nach Berlin?
langsam,,slow,Könnten Sie bitte etwas langsamer sprechen?
längst,,long since; already,Wann reparierst du die Heizung. – Die habe ich schon längst repariert.
langweilig,,boring,Der Film war sehr langweilig.
sich langweilen,,to be bored,Langweilst du dich?
Langeweile,die,boredom,Es ist aus Langeweile eingeschlafen.
Lärm,der,noise,Die Flugzeuge machen einen schrecklichen Lärm.
Laster,der,truck,Auf der Autobahn waren so viele Laster. Deshalb hat es so lange gedauert.
laufen,,to run; to walk,"Ich bin gestern 100 m in 10,4 Sekunden gelaufen."
Laufwerk,das,drive; disk drive,Für meinen Computer habe ich mir ein neues Laufwerk gekauft.
Laune,die,mood,"Heute geht es mir besser, aber gestern hatte ich richtig schlechte Laune."
laut,,loud,Lass uns gehen. Hier ist es mir zu laut.
Lautsprecher,der,loudspeaker; speaker,Bitte achten Sie auch auf die Lautsprecher-Ansagen am Bahnhof.
leben,,to live,Leben Ihre Großeltern noch?
gelebt,,lived,Herr Müller hat lange im Ausland gelebt. Von der Rente allein kann meine Tante nicht leben. Ich lebe noch bei meinen Eltern.
Leben,das,life,Das Leben kommt in der Prüfung vor.
Lebenslauf,der,resume; CV,Schicken Sie bitte Ihren Lebenslauf.
Lebensmittel,die,food; groceries,Die Lebensmittel passt gut zu diesem Thema.
Leder,das,leather,Ist die Tasche aus Leder?
ledig,,single; unmarried,Wie ist Ihr Familienstand? – Ledig.
leer,,empty,Das Restaurant war fast leer.
legen,,to lay; to put,Legen Sie die Zeitungen bitte dort ins Regal.
gelegt,,laid; put,Ich habe die Zeitung auf den Schreibtisch gelegt.
Lehre,die,apprenticeship; training,Mein Cousin will eine dreijährige Lehre machen.
Lehrstelle,die,apprenticeship position,Die Lehrstelle steht auf meiner Liste.
Lehrer,der,teacher,Die Lehrerin hat heute viele Hausaufgaben gegeben.
Lehrling,der,apprentice,Als Lehrling verdient man nicht sehr viel Geld.
leicht,,light; easy,Der Koffer ist ganz leicht. Ich kann ihn allein tragen.
leid tun,,to be sorry,Die Frau tut mir leid.
leiden,,to suffer,Er leidet an einer schweren Krankheit.
leider,,unfortunately,Da kann ich Ihnen leider nicht helfen.
leihen,,to borrow; to lend,Ich habe mir von meinem Bruder 50 Euro geliehen.
leise,,quiet; softly,Seid leise. Die anderen schlafen schon.
leisten,,to afford; to perform,So ein teures Auto kann ich mir leider nicht leisten.
Leistung,die,performance; achievement,Meine Leistungen in der Schule sind ganz gut.
leiten,,to lead; to manage,Wer leitet den Kurs?
Leiter,der,leader; manager,Wie heißt der Leiter der Schule?
Leitung,die,leadership; line,Ab Juli übernimmt Herr Meier die Leitung der Abteilung.
Leiter,die,ladder,Haben Sie eine Leiter für mich? Ich will die Fenster putzen.
lernen,,to learn,Wie lange lernen Sie schon Deutsch?
gelernt,,learned,'gelernt' kommt in vielen Texten vor.
Lerner,der,learner,Der Lerner ist ein nützliches Wort.
lesen,,to read,"Ich habe gelesen, dass es ab heute Sonderangebote gibt."
Leser,der,reader,Der Leser ist heute wichtig.
letzte,,last,Was hast du letzte Woche gemacht?
Lexikon,das,encyclopedia,Wir könnten im Lexikon nachsehen.
Licht,das,light,Kannst du bitte Licht machen? Ich kann so nichts sehen.
lieben,,to love,Ich liebe meine Familie.
lieb,,dear; nice,Die Kinder waren heute sehr lieb.
Liebe,die,love,Die Liebe ist wichtig.
liefern,,to deliver,Ich wiederhole heute 'liefern'.
geliefert,,delivered,Dieses Wort heißt 'geliefert'.
Lieferung,die,delivery,Die Lieferung passt gut zu diesem Thema.
liegen,,to lie; to be located,Der Brief liegt schon auf Ihrem Schreibtisch.
Lift,der,elevator; lift,Aufzug Im Büro ist leider der Lift kaputt.
Limonade,die,lemonade,Die Limonade ist sehr süß.
Linie,die,line,Zum Hauptbahnhof können Sie mit der Linie 8 fahren.
links,,left,An der Kreuzung müssen Sie nach links abbiegen.
Lippe,die,lip,Es ist sehr kalt. Meine Lippen sind ganz trocken.
Liste,die,list,Was brauchen wir für die Party? – Mach doch eine Einkaufsliste.
Literatur,die,literature,Ich interessiere mich für Literatur.
loben,,to praise,Ich habe alle Hausaufgaben gemacht. Der Lehrer hat mich heute gelobt.
Loch,das,hole,Ich habe ein Loch im Zahn. Ich muss zum Zahnarzt.
locker,,loose; relaxed,Lassen Sie bitte die Arme ganz locker und atmen Sie tief ein.
Löffel,der,spoon,Wir brauchen noch einen Löffel.
sich lohnen,,to be worth it,Für drei Tage zu meinen Eltern fahren lohnt sich nicht. Es ist zu weit.
Lokal,das,restaurant; pub,Gibt es hier in der Nähe ein gemütliches Lokal?
los,,loose; off; going on,Was ist los?
löschen,,to delete; to extinguish,Du kannst die Datei löschen. Ich brauche sie nicht mehr.
lösen,,to solve,Wir müssen dieses Problem lösen.
Lösung,die,solution,Wir fahren alle zusammen mit dem Zug. Das ist die beste Lösung.
Luft,die,air,"Oh, hier ist aber schlechte Luft."
machen,,to make; to do,Was machst du am Wochenende?
lügen,,to lie,Du sollst nicht lügen.
Magazin,das,magazine,Das Magazin steht auf meiner Liste.
Lüge,die,lie,Die Lüge kommt in der Prüfung vor.
Magen,der,stomach,Mir tut der Magen weh. Ich habe Magenschmerzen.
mager,,lean; low-fat,Ich wiederhole heute 'mager'.
lustig,,funny; cheerful,Ich habe einen lustigen Film gesehen.
Mahlzeit,die,meal,Die Tropfen bitte immer nach den Mahlzeiten einnehmen.
Mahnung,die,reminder; warning notice,Die Mahnung kommt in der Prüfung vor.
mal,,once; sometime,Dieses Wort heißt 'mal'.
Mal,das,time; occasion,Das machen wir nächstes Mal.
malen,,to paint; to draw,Das Bild hat mein Vater gemalt.
Maler,der,painter,Wir haben die Maler im Haus. Wir lassen die Wände neu streichen.
man,,one; you; people,Wie schreibt man das?
manche,,some; several,Manche Nachbarn sind unfreundlich.
Mangel,der,shortage; defect,In dieser Stadt gibt es einen großen Mangel an Wohnungen.
männlich,,male; masculine,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.
Mannschaft,die,team,Unsere Mannschaft hat 0:1 verloren.
Mantel,der,coat,Es ist sehr kalt. Zieh deinen Mantel an.
Märchen,das,fairy tale,Meine Großmutter hat uns viele Märchen erzählt.
Marille,die,apricot,"D, CH: Schmecken dir die Marillen?"
Marke,die,stamp; brand,Ich brauche bitte fünf Briefmarken zu 1 Euro.
markieren,,to mark,Hier ist unser Hotel. Ich markiere Ihnen auf dem Plan den Weg zum Bahnhof.
Markt,der,market,Ich gehe heute auf den Markt.
Marmelade,die,jam,Bring bitte noch ein Glas Marmelade mit.
Maschine,die,machine,Ich habe eine neue Kaffeemaschine.
Material,das,material,Aus welchem Material ist der Schrank? – Aus Holz.
Matura,die,school-leaving exam,Meine Tochter hat gerade die Matura gemacht.
Mauer,die,wall,Die Kinder sind über die Mauer geklettert.
maximal,,maximum; at most,Wie lange braucht ein Brief? – Maximal zwei Tage.
Mechaniker,der,mechanic,Das kann nur ein Mechaniker reparieren.
Medien,die,media,Umweltschutz ist in den Medien ein großes Thema.
Medikament,das,medication; medicine,Dieses Medikament gibt es nur auf Rezept.
Medizin,die,medicine,Du musst noch deine Medizin nehmen.
Meer,das,sea,Wir machen immer Urlaub am Meer.
Mehl,das,flour,Ich möchte einen Kuchen backen. Ist noch genug Mehl da?
mehr,,more,Ich habe diesmal mehr gelernt als bei der letzten Prüfung.
mehrere,,several,Ich kann 'mehrere' in einem Satz benutzen.
Mehrheit,die,majority,Die Mehrheit der Menschen in Deutschland besitzt ein Handy.
Mehrwertsteuer,die,value-added tax; VAT,Die Mehrwertsteuer bei diesem Produkt beträgt 20 %.
meinen,,to mean; to think,Dieser Film ist gut. Was meinst du?
meinetwegen,,as far as I am concerned,Meinetwegen kannst du heute das Auto haben.
Meinung,die,opinion,"Ich bin der Meinung, dass du recht hast."
meist,,most; mostly,Wie gut kannst du Deutsch? – Das Meiste verstehe ich.
Meister,der,master; foreman,"Ich weiß nicht, wie man das macht. – Dann frag doch den Meister."
Meldung,die,report; announcement,Hast du die Meldung im Radio gehört? Es wird starken Sturm geben.
Menge,die,amount; quantity,"Diesen Preis gibt es nur, wenn Sie große Mengen kaufen."
Mensa,die,cafeteria; dining hall,Ich esse fast jeden Tag in der Mensa.
Mensch,der,person; human being,Die Menschen sind hier ein bisschen anders als im Süden.
menschlich,,human; humane,Fehler zu machen ist menschlich.
Menü,das,menu,"Nimm doch das Menü, das sieht gut aus."
merken,,to notice; to remember,"Ich habe nicht gemerkt, dass es schon so spät ist. Ich muss gehen."
merkwürdig,,strange; odd,Das ist eine merkwürdige Geschichte.
Messe,die,fair; trade fair,Kommst du mit zur Automobilmesse?
messen,,to measure,Haben Sie schon Fieber gemessen?
Messer,das,knife,Das Messer schneidet nicht gut.
Methode,die,method,"Weißt du eine gute Methode, um schnell gut Deutsch zu lernen?"
Metropole,die,metropolis; major city,Berlin und Wien sind Metropolen.
mieten,,to rent,Wir haben die Wohnung für drei Jahre gemietet.
Miete,die,rent,Unsere Miete ist sehr hoch.
Mieter,der,tenant,Der Mieter passt gut zu diesem Thema.
Migrant,der,migrant,Der Migrant ist heute wichtig.
Migrantin,die,female migrant,Die Migrantin steht auf meiner Liste.
Migration,die,migration,Gestern gab es im Fernsehen eine Diskussion zum Thema Migration.
Milch,die,milk,Stellst du bitte die Milch in den Kühlschrank?
mild,,mild,"Möchten Sie die Soße scharf? – Nein, bitte ganz mild."
Minderheit,die,minority,Frauen sind in unserer Firma in der Minderheit.
mindestens,,at least,Ein guter Fernsehapparat kostet mindestens 500 Euro.
Mineralwasser,das,mineral water,Kann ich bitte ein Mineralwasser haben?
minimal,,minimal,Da ist nur ein minimaler Unterschied.
mischen,,to mix,Ich möchte ein gemischtes Eis mit Sahne.
Misserfolg,der,failure,Die Konferenz war ein Misserfolg.
mit,,with,Ich gehe heute Abend mit Maria aus.
Mitarbeiter,der,employee; staff member,Unsere Firma hat sieben Mitarbeiter.
miteinander,,with each other; together,Sprechen Sie bitte miteinander.
Mitglied,das,member,Für Mitglieder ist der Eintritt zum Konzert gratis.
Mitte,die,middle; center,Wo möchten Sie sitzen? – In der Mitte.
mitteilen,,to inform; to communicate,Den Prüfungstermin teilen wir Ihnen noch mit.
Mittel,das,remedy; means,Haben Sie ein Mittel gegen Magenschmerzen?
mittler-,,middle,In den mittleren Reihen sind noch Plätze frei.
Möbel,das,furniture,Wir haben uns neue Möbel gekauft. Ich suche ein möbliertes Zimmer.
möchten,,would like,Möchtest du auch einen Kaffee?
mobil,,mobile,Mit dem Fahrrad bin ich in der Stadt sehr mobil.
Mobilität,die,mobility,Sprachen zu lernen fördert die Mobilität.
Mobiltelefon,das,mobile phone,Wie findest du das neue Mobiltelefon?
Mode,die,fashion,Die Mode passt gut zu diesem Thema.
Modell,das,model,Wie findest du dieses Auto? – Dieses Modell gefällt mir nicht.
modern,,modern,Die Wohnung ist modern eingerichtet.
mögen,,to like,Ich mag keinen Reis.
möglich,,possible,Kann ich bitte sofort einen Termin haben? – Das ist leider nicht möglich.
Möglichkeit,die,possibility; opportunity,Diese Möglichkeit passt gut zu diesem Thema.
möglichst,,as ... as possible,Das Wort 'möglichst' ist im Alltag nützlich.
Moment,der,moment,Warten Sie bitte einen Moment.
Mond,der,moon,Bei Vollmond kann ich nicht schlafen.
Monitor,der,monitor,Ich habe mir einen größeren Monitor gekauft. Das ist besser für meine Augen.
Motor,der,engine; motor,Der Motor ist kaputt. Das Auto fährt nicht mehr.
Motorrad,das,motorcycle,Oskar fährt jeden Tag mit dem Motorrad zur Arbeit.
müde,,tired,Ich bin müde. Ich gehe schlafen.
Mühe,die,effort; trouble,Vielen Dank für Ihre Mühe.
Müll,der,trash; garbage,Bringst du bitte noch den Müllsack raus?
Müllabfuhr,die,garbage collection,Die Müllabfuhr passt gut zu diesem Thema.
Mülltonne,die,trash bin; garbage can,Die Mülltonne ist voll.
Mund,der,mouth,Sie haben Halsschmerzen? Bitte machen Sie mal den Mund auf.
mündlich,,oral; spoken,Die mündliche Prüfung ist erst nächste Woche.
Münze,die,coin,Der Automat nimmt nur Münzen.
Museum,das,museum,Wir waren mit unserer Klasse im Museum.
Musik,die,music,Wie findest du die Musik?
musikalisch,,musical,"Sie ist sehr musikalisch: Sie spielt Klavier, Flöte und Geige."
Musiker,der,musician,Mein Bruder möchte Musiker werden.
Muskel,der,muscle,Im Fitness-Studio trainieren wir unsere Muskeln.
nach,,after; to; according to,Ich fahre nach Berlin.
Nachbar,der,neighbor,Meine neue Nachbarin ist sehr nett.
Nachbarin,die,female neighbor,Die Nachbarin steht auf meiner Liste.
Müesli/Müsli,das,muesli; granola,Zum Frühstück esse ich Müsli.
Mut,der,courage,"Man braucht viel Mut, um in einem fremden Land ganz neu anzufangen."
mutig,,brave; courageous,"Es war sehr mutig von dir, deine Meinung laut zu sagen."
Mutter,die,mother,Meine Mutter heißt Klara.
nachdem,,after; after that,"Nachdem wir gegessen hatten, sind wir spazieren gegangen."
nachdenken,,to think about; to reflect,"Ich weiß nicht, was ich machen soll. Ich muss nachdenken."
Nachfrage,die,demand; inquiry,Die Nachfrage für dieses Produkt ist groß.
nachher,,afterward; later,Ich rufe nachher nochmal an.
Nachhilfe,die,tutoring; extra help,Der Schüler braucht Nachhilfe in Mathematik.
Nachricht,die,message; news,Ich habe eine gute Nachricht für Sie. Sie haben die Prüfung bestanden.
nachschlagen,,to look up,Ich wiederhole heute 'nachschlagen'.
Nachspeise,die,dessert,Die Nachspeise ist ein nützliches Wort.
nächste,,next,Wo ist hier die nächste Apotheke?
Nachwuchs,der,young talent; offspring,Der Nachwuchs bei Forschern soll gefördert werden.
Nadel,die,needle,Hast du eine Nadel für mich? Ich muss einen Knopf annähen.
Nagel,der,nail,Kannst du mir den Nagel in die Wand schlagen?
Nähe,die,nearby; closeness,Die Post ist ganz in der Nähe vom Bahnhof.
nähen,,to sew,Meine Mutter näht ihre Kleider selbst.
genäht,,sewn; stitched,Wir müssen die Wunde nähen.
sich nähern,,to approach; to come closer,Ich übe das reflexive Verb 'nähern'.
Nahrungsmittel,das,food; foodstuff,Das Nahrungsmittel kommt in der Prüfung vor.
Familienname,der,family name; surname,Ludin ist mein Familienname.
Vorname,der,first name,Mein Vorname ist Thomas.
nämlich,,namely; because,Ich muss leider gehen. Ich habe nämlich noch einen Termin beim Zahnarzt.
Nase,die,nose,Haben Sie Nasentropfen? Ich bin stark erkältet.
nass,,wet,Es hat schrecklich geregnet. Ich bin ganz nass geworden.
national,,national,Das ist ein nationaler Wettbewerb.
natürlich,,of course; naturally,Natürlich helfen wir dir.
Nebel,der,fog,Wegen Nebels konnten wir gestern nicht in Frankfurt landen.
neben,,next to; beside,Neben mir ist noch ein Platz frei.
nebenan,,next door,"Das ist José, er wohnt nebenan."
nebenbei,,on the side; besides,Mein Freund studiert Geschichte. Und nebenbei arbeitet er in einer Kneipe.
Neffe,der,nephew,Meine Schwester hat zwei Kinder. Meine Neffen sind drei und fünf Jahre alt.
negativ,,negative,Du solltest nicht alles negativ sehen.
nehmen,,to take,Was möchten Sie? – Ich nehme einen Salat.
nein,,no,"Noch ein Bier? – Nein, danke."
nennen,,to call; to name,"Mein Freund heißt Alexander, aber alle nennen ihn Alex."
Nerv,der,nerve,Er leidet an einer Nervenkrankheit.
nervös,,nervous,Das Warten macht mich ganz nervös.
nett,,nice,Die Leute sind hier sehr nett.
Netz,das,net; mesh bag,Bitte bring ein Netz Orangen.
Netzwerk,das,network,Soziale Netzwerke sind wichtig.
neu,,new,Mein Wagen ist noch ganz neu.
Neuigkeit,die,news; update,In dieser Sache gibt es keine Neuigkeiten.
neugierig,,curious; nosy,Die Nachbarn sind ziemlich neugierig.
neulich,,recently,Ich war neulich bei der Bank und habe einen alten Freund getroffen.
nicht,,not,"Zigarette? Danke, ich rauche nicht."
Nichte,die,niece,Die Tasche ist ein Geschenk von meiner Nichte.
Nichtraucher,der,non-smoker,In unserer Familie sind alle Nichtraucher.
nichts,,nothing,Ich habe noch nichts gegessen.
nie,,never,Der Chef ist nie da.
niedrig,,low,Die Räume hier sind mir zu niedrig.
niemand,,nobody; no one,Ich habe geklingelt. Aber es war niemand zu Hause.
nirgends,,nowhere,Ich kann die Quittung nirgends finden.
nirgendwo,,nowhere,Die Schlüssel kann ich nirgendwo finden.
noch,,still; yet,Mein Bruder geht noch zur Schule.
noch mal,,again; once more,Vielen Dank nochmal.
nochmals,,again; once more,Nochmals vielen Dank!
normal,,normal,Fehler zu machen ist doch ganz normal.
normalerweise,,normally; usually,Wann haben Sie normalerweise Pause?
Notausgang,der,emergency exit,Der Notausgang ist gleich hier bei der Treppe.
Notfall,der,emergency,Wir haben einen Notfall. Bitte schicken Sie einen Krankenwagen. Im Notfall rufen Sie bitte diese Nummer an.
Notruf,der,emergency call,Der Notruf passt gut zu diesem Thema.
Note,die,grade; note,Eva hat immer sehr gute Noten in Mathematik.
notieren,,to note down,Ich habe mir den Termin notiert.
nötig,,necessary; needed,"Wenn es nötig ist, nehmen Sie noch eine Tablette."
Notiz,die,note,Ich habe Ihnen eine Notiz geschrieben.
notwendig,,necessary,"Muss ich nochmal wiederkommen? – Nein, das ist nicht notwendig."
Nudel,die,noodle; pasta,Möchten Sie Nudeln oder Reis? – Lieber Nudeln.
Nummer,die,number,Ich habe mich in der Hausnummer geirrt.
nun,,now; well,"Schade, dass du arbeiten musst. – Das ist nun mal so."
nur,,only; just,Im Kaufhaus gibt‘s T-Shirts für nur fünf Euro.
nutzen,,to use; to take advantage of,Ich möchte das schöne Wetter nutzen und spazieren gehen.
nützen,,to be useful; to benefit,Ich übe das Verb 'nützen'.
nützlich,,useful,Das Wort 'nützlich' ist nützlich.
ob,,whether; if,"Ich weiß noch nicht, ob ich kommen kann."
oben,,above; upstairs,Wir wohnen oben im Stock.
ober-,,upper,Die Wohnung im oberen Stockwerk ist vermietet.
Obers,das,cream; whipped cream,Ich hätte gern ein Stück Torte mit Schlagobers.
Obst/Früchte,das,fruit,Das Obst steht auf meiner Liste.
obwohl,,although,"Obwohl meine Kollegin krank ist, geht sie arbeiten."
oder,,or,Möchten Sie Kaffee oder Tee?
Ofen,der,oven; stove,Ich habe gerade eine Pizza gemacht. Sie ist ganz frisch aus dem Ofen.
offen,,open,Das Wort 'offen' ist im Alltag nützlich.
öffentlich,,public,In der Stadt fahre ich immer mit öffentlichen Verkehrsmitteln.
Öffentlichkeit,die,public; public sphere,Von solchen Dingen erfährt die Öffentlichkeit nur selten.
veröffentlichen,,to publish,Das Buch wurde gestern veröffentlicht.
offenbar,,apparently,Das Restaurant ist heute offenbar geschlossen.
offiziell,,official,Sie bekommen von uns eine offizielle Einladung.
öffnen,,to open,Wann öffnen die Geschäfte?
oft/öfter,,often; more often,Ich treffe mich oft mit meiner Freundin.
ohne,,without,Bitte eine Pizza ohne Zwiebeln.
Ohr,das,ear,Ich habe Ohrenschmerzen.
Öl,das,oil,Es fehlt Öl am Salat.
Oma,die,grandma,Meine Oma ist achtzig Jahre alt geworden.
Onkel,der,uncle,Nächste Woche fahre ich zu meinem Onkel nach Berlin.
Oper,die,opera,Die Oper ist ein nützliches Wort.
operieren,,to operate; to perform surgery,Wir müssen das Knie sofort operieren.
Operation,die,operation; surgery,Seit der Operation kann ich mein Knie nicht mehr bewegen.
Opfer,das,victim,Bei der Schiffskatastrophe gab es viele Opfer.
Orange,die,orange,Ich esse gern Orangen.
Orchester,das,orchestra,Auf unserer Hochzeit hat ein kleines Orchester gespielt.
Paar,das,couple; pair,Ina und Pedro sind ein Paar.
ordentlich,,neat; tidy,Mein Bruder ist ein sehr ordentlicher Mensch.
Ordination,die,doctor’s office; surgery,Die Ordination bleibt bis zum Jänner geschlossen.
ordnen,,to sort; to organize,Letztes Wochenende habe ich meine Papiere geordnet.
Ordner,der,folder; binder,Der Ordner steht im Regal.
organisieren,,to organize,Für den nächsten Sommerurlaub habe ich schon alles organisiert.
Organisation,die,organization,Die Organisation des Festes war sehr gut.
Original,das,original,Das Original ist für Sie. Wir bekommen die Kopie.
original,,original,Ich muss das originale Dokument abgeben.
Ort,der,place; town,Vergessen Sie Ort und Datum nicht.
Vorort,der,suburb,Mein Bruder wohnt in einem Vorort von Hamburg.
Wohnort,der,place of residence,Tragen Sie bitte auch Ihren Wohnort ein.
Ozean,der,ocean,Der Atlantik ist ein Ozean.
packen,,to pack,Ich muss noch meinen Koffer packen.
Paket,das,package; parcel,Hast du das Paket zur Post gebracht?
Panne,die,breakdown,Kurz vor München hatten wir eine Panne mit dem Auto.
Papier,das,paper,Hast du ein Blatt Papier für mich?
Matte,die,mat,Ich brauche eine Matte für den Sport.
parallel,,parallel,Die Goethestraße ist parallel zur Hauptstraße.
Parfüm,das,perfume,Zum Geburtstag habe ich von meinem Mann ein Parfüm bekommen.
Park,der,park,Ich gehe gern im Park spazieren.
parken,,to park,Hier dürfen Sie nicht parken.
geparkt,,parked,CH: Hier ist das Parken verboten.
parkieren,,to park,Hier dürfen Sie nicht parkieren.
Partner,der,partner,Wir haben das Geschäft zusammen. Wir sind Partner.
Party,die,party,Letzte Woche war ich auf einer Geburtstagsparty.
Pass,der,passport,Ich muss meinen Pass verlängern lassen.
Passagier,der,passenger,Der Passagier steht auf meiner Liste.
Passagierin,die,female passenger,Die Passagierin soll bitte zur Information kommen.
passen,,to fit; to suit,Der Pullover passt mir nicht mehr.
passieren,,to happen,Entschuldigung! – Kein Problem. Es ist nichts passiert.
passiv,,passive,Ich übe das Wort 'passiv'.
Patient,der,patient,Der Patient steht auf meiner Liste.
Patientin,die,female patient,Die Patientin möchte bitte einen Termin.
pauschal,,flat-rate; package,Sie haben die Reise pauschal gebucht.
Pause,die,break; pause,Wir machen zehn Minuten Pause.
Pech,das,bad luck,Es regnet. Unser Picknick fällt leider aus. – So ein Pech!
peinlich,,embarrassing,Das muss dir nicht peinlich sein.
Pension,die,guesthouse; pension,Im Urlaub haben wir in einer kleinen Pension gewohnt.
in Pension gehen/sein,,to retire; to be retired,Er ist in Pension gegangen.
pensioniert werden/sein,,to be retired; to retire,Ich werde Ende des Jahres pensioniert.
in Pension gehen/sein,,to retire; to be retired,Mein Nachbar ist seit zehn Jahren in Pension.
Pensionist,der,pensioner; retiree,Meine Großmutter arbeitet nicht mehr. Sie ist Pensionistin.
per,,by; via,Wie kann ich mich für den Kurs anmelden? – Per Fax oder E-Mail.
perfekt,,perfect,Die Reiseorganisation war perfekt.
Perron,der,platform,Auf Hauptbahnhöfen gibt es meist viele Perrons.
Person,die,person,Eintritt pro Person: 2 Euro.
persönlich,,personal; personally,Hier gibt es zu viele Autos. Das ist meine persönliche Meinung.
Personalien,die,personal details,Mein Kollege wird Ihre Personalien aufnehmen.
Personenstand/Familienstand,der,marital status; civil status,Der Personenstand ist ein nützliches Wort.
Personal,das,staff; personnel,Dieser Eingang ist nur für das Personal.
Pfanne,die,pan,Hast du keine größere Pfanne? Ich möchte Kartoffeln kochen.
Pfeffer,der,pepper,Bringen Sie uns bitte Pfeffer und Salz.
pflanzen,,to plant,Lass uns einen Baum pflanzen!
Pflanze,die,plant,"Wenn wir im Urlaub sind, gießt die Nachbarin unsere Pflanzen."
Pflaster,das,bandage; plaster,Das Pflaster passt gut zu diesem Thema.
pflegen,,to care for; to nurse,Meine Mutter ist sehr krank. Ich muss sie pflegen.
Pfleger,der,caregiver; male nurse,Der Pfleger steht auf meiner Liste.
Pflicht,die,duty; obligation,Als Autofahrer müssen Sie eine Versicherung haben. Das ist Pflicht.
Phantasie/Fantasie,die,imagination; fantasy,Mein Sohn malt sehr gut. Er hat viel Phantasie.
Picknick,das,picnic,Am Sonntag machen wir ein Picknick.
Pille,die,pill,Der Arzt hat mir neue Pillen verschrieben.
Pizza,die,pizza,Lass uns eine Pizza bestellen!
Plakat,das,poster,Im Unterricht haben wir ein Plakat gemacht.
planen,,to plan,"Wir haben geplant, diesmal im Urlaub nach Österreich zu fahren."
Plan,der,plan,"Was macht ihr im Sommer? – Ich weiß noch nicht, wir haben noch keine Pläne."
Planung,die,planning,Die Planung ist heute wichtig.
Plastik,das,plastic,Was für ein Spielzeug möchten Sie? Aus Plastik oder aus Holz?
Platz,der,space; place; seat,In unserer Wohnung haben wir nicht genug Platz.
plötzlich,,suddenly,Es war zuerst so schön. Plötzlich hat es angefangen zu regnen.
Politik,die,politics,Ich interessiere mich nicht für Politik.
Politiker,der,politician,"Weißt du, wie dieser Politiker heißt?"
politisch,,political,Ich diskutiere mit meinem Mann oft über politische Probleme.
Polizei,die,police,Rufen Sie bitte die Polizei.
Polizist,der,police officer,Der Polizist ist ein nützliches Wort.
Polizistin,die,female police officer,Die Polizistin hat den Verkehr geregelt.
